ts_utc,game,market_type,market_key,line,side_a,venue_a,price_a,side_b,venue_b,price_b,implied_cost,roi_pct,net_edge_pct,arb_survived,would_trade,exec_status,confidence,note
2026-07-09T00:11:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:12:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:12:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:12:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:12:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:12:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:12:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:12:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:13:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:13:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:13:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:13:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:13:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:13:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:13:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:14:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:14:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:14:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:14:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:14:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:14:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:14:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:15:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:15:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:15:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:15:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:15:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:15:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:15:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:16:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:16:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:16:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:16:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:16:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:16:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:16:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:17:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:17:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:17:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:17:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:17:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:17:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:17:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:18:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:18:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:18:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:18:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:18:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:18:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:18:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:19:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:19:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:19:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:19:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:19:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:19:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:19:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:20:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:20:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:20:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:20:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:20:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:20:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:20:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:21:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:21:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:21:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:21:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:21:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:21:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:21:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:22:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:22:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:22:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:22:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:22:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:22:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:22:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:23:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:23:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:23:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:23:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:23:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:23:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:23:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:23:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:23:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:23:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:23:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
